ac|en|fi|pt|ru|zh|ja|ko|de
[weapon_melee]||||||||
weapon_melee0|Dagger|Tikari|Adaga|Кинжал|匕首|ダガー|단검|Dolch
weapon_melee1|Butcher's Knife|Teurastajan veitsi|Faca de açougueiro|Butcher's Knife|屠夫的刀|ブッチャーズナイフ|Butcher's Knife|Schlachtermesser
weapon_melee2|Dirge|Dirge|Dirge|Dirge|Dirge|Dirge|Dirge|Dirge
weapon_melee3|Short Dagger|Lyhyt tikari|Adaga curta|Short Dagger|短匕首|ショートダガー|Short Dagger|Kurzer Dolch
weapon_melee4|Short Sword|Lyhytmiekka|Espada Curta|Короткий меч|短刀|ショートソード|짧은 검|Kurzes Schwert
weapon_melee5|War Gladius|Sota Gladius|Gladius de Guerra|War Gladius|战神之剑|ウォー・グラディウス|War Gladius|Krieg Gladius
weapon_melee6|Falcion|Falcion|Falção|Falcion|法尔西翁|ファルシオン|Falcion|Falcion
weapon_melee7|Broad Sword|Leveämiekka|Sabre|Широкий меч|大刀|ブロードソード|넓은 검|Breites Schwert
weapon_melee8|Long Sword|Pitkämiekka|Espada Longa|Длинный меч|长剑|ロングソード|긴 검|Langes Schwert
weapon_melee9|Balrog Blade|Balrogin terä|Lâmina Balrog|Balrog Blade|巴罗格之刃|バルログ・ブレード|Balrog Blade|Balrog Klinge
weapon_melee10|Colossus Sword|Kolossin miekka|Espada Colossus|Colossus Sword|巨石之剑|コロッサス・ソード|Colossus Sword|Koloss-Schwert
weapon_melee11|Champion Sword|Mestarin miekka|Espada Campeã|Champion Sword|冠军剑|チャンピオン・ソード|Champion Sword|Meisterschwert
weapon_melee12|Club|Nuija|Clava|Дубина|俱乐部|クラブ|클럽|Keule
weapon_melee13|Cudgel|Cudgel|Cudgel|Cudgel|棍棒|棍棒|Cudgel|Knüppel
weapon_melee14|Spiked Club|Piikkinuija|Clava Espetada|Дубина с шипами|飙升的俱乐部|スパイククラブ|스파이크 클럽|Keule mit Stacheln
weapon_melee15|Truncheon|Pamppu|Truncheon|Truncheon|警棍|トランシェーン|Truncheon|Knüppel
weapon_melee16|Flail|Varsta|Mangual|Цеп|连枷|フレイル|도리깨|Flegel
weapon_melee17|Knout|Knout|Saiba|Knout|克努特|ノット|Knout|Knout
weapon_melee18|Scourge|Scourge|Flagelo|Scourge|祸害|Scourge|Scourge|Geißel
weapon_melee19|Spiked Flail|Piikkihakara|Floco Espigado|Spiked Flail|带刺飞刀|スパイクドフレイル（Spiked Flail|Spiked Flail|Stachelschlegel
