[main_menu]|en|fi|pt|ru|zh|ja|ko|de
local_play|Play local|Paikallinen peli|Jogo Local|Локальная игра|本地游玩|ローカルプレイ|로컬 플레이|Lokal spielen
multiplayer|Play online|Online moninpeli|Jogue online|Сетевая игра|在线游戏|オンラインマルチプレイヤー|온라인 멀티플레이어|Online spielen
options|Options|Asetukset|Opções|Настройки|游戏设置|オプション|설정|Optionen
version|version|Versio|Versão|Версия|版本|バージョン|버전|Version
ns_controller_continue|Connect a controller to continue.|Yhdistä ohjain jatkaaksesi.|Conecte um controle para continuar.|Подключите контроллер, чтобы продолжить.|连接控制器以继续。|続けるには コントローラー を接 続してください。|컨트롤러를 연결하여 계속하세요.|Schließe einen Controller an, um weiterzumachen.
ns_controller_one_dc|Controller 1 disconnected.|Yhteys ohjaimeen 1 katkesi.|Controle 1 desconectado.|Контроллер 1 отключен.|控制器 1 断开连接。|コントローラ 1 が切断されました。|컨트롤러 1의 연결이 끊겼습니다.|Controller 1 wurde getrennt.
ns_controller_two_dc|Controller 2 disconnected.|Yhteys ohjaimeen 2 katkesi.|Controle 2 desconectado.|Контроллер 2 отключен.|控制器 2 断开连接。|コントローラ 2 が切断されました。|컨트롤러 2의 연결이 끊겼습니다.|Controller 2 wurde getrennt.
ns_controller_both_dc|Controller 1 and 2 disconnected.|Ohjainten 1 ja 2 yhteys katkesi.|Controle 1 e 2 desconectados.|Контроллеры 1 и 2 отключены.|控制器 1 和 2 断开。|コントローラ 1 と 2 が切断されました。|컨트롤러 1과 2의 연결이 끊겼습니다.|Controller 1 und 2 wurden getrennt.
ns_controller_connect|Connect a controller and press Confirm|Yhdistä ohjain ja paina Hyväksy.|Conecte um controle e pressione Confirmar|Подключите контроллер и нажмите Подтвердить|连接控制器并按确认|コントローラを押して 「確認」 を接続します|컨트롤러를 연결하고 확인을 누르세요|Schließe einen Controller an und drücke Bestätigen.
ns_controller_sp_mode|or continue in singleplayer mode.|tai jatka yksinpelitilassa.|ou continue no modo de um jogador|или продолжайте игру в одиночном режиме.|或继续在单机模式。|または シングルプレイヤーモード で続けます。|또는 싱글플레이어 모드로 계속하세요.|oder mach im Einzelspieler-Modus weiter.
ns_controller_confirm|Press Confirm to continue.|Paina Hyväksy jatkaaksesi.|Pressione Confirmar para continuar.|Нажмите кнопку Подтвердить, чтобы продолжить.|按确认键继续。|続行するには押して 「確認」。|계속하려면 확인을 누르세요.|Drücke Bestätigen um weiterzumachen.
ns_controller_singleplayer|Singleplayer|Yksinpeli|Um jogador|Одиночная Игра|单个玩家|シングルプレイヤー|싱글플레이어|Einzelspieler
ns_controller_multi|Multiple controllers detected.|Useita ohjaimia havaittu.|Vários controladores detectados.|Обнаружено несколько контроллеров.|检测到多个控制器。|複数のコントローラーが検出されました。|여러 컨트롤러가 감지되었습니다.|Mehrere Controller erkannt.
