[quest]|en|fi|pt|ru|zh|ja|ko|de
quest_name_18|Learn to mine|Louhitaan|Aprenda a minerar|Научись добывать руду|学习挖矿|鉱山を学ぶ|광산 배우기|Lerne meine
quest_description_18|Mine copper ore on normal difficulty.|Louhi kuparimalmia normaalilla vaikeusasteella.|Mina de minério de cobre na dificuldade normal.|Добыча медной руды на нормальной сложности.|铜矿开采难度一般。|銅鉱石を通常の難易度で鉱山します。|정상적인 난이도에서 광산 구리 광석.|Minen Sie Kupfererz auf normalem Schwierigkeitsgrad.
quest_objective_18_1|Copper ore|Kuparimalmia|Minério de cobre|Медная руда|铜矿|銅鉱石|구리 광석|Kupfererz
||||||||
quest_name_19|Chaos Tower|Kaaositorni|Torre do Caos|Башня Хаоса|混沌塔|カオスタワー|카오스 타워|Chaosturm
quest_description_19|Solve the mystery of the Chaos Tower.|Ratkaise kaaostornin mysteeri.|Resolva o mistério da Torre do Caos.|Разгадайте тайну Башни Хаоса.|解决混沌塔的奥秘。|カオスタワーの謎を解き明かそう。|카오스 타워의 수수께끼를 풀어보세요.|Löse das Geheimnis des Chaosturms.
quest_objective_19_1|Towers cleared|Tornia läpäisty|Torres limpas|Башни очищены|清除塔楼|タワーがクリアされました|타워가 삭제되었습니다.|Türme geräumt
quest_objective_19_2|Find Kukkonen|Löydä Kukkonen|Encontre Kukkonen|Найдите Кукконена|寻找库科宁|クッコネンを探す|Kukkonen 찾기|Finde Kukkonen
||||||||
[HALLOWEEN EVENT]||||||||
quest_name_100|Trick or Treat!|Karkki tai kepponen!|Doçura ou travessura!|Кошелек или жизнь!|不给糖果就捣蛋！|トリック・オア・トリート！|먹을 걸 안 주면 장난칠 거야!|Suesses oder Saures!
quest_description_100|You must collect a lot of candy. A. Lot.|Kerää karkkia. Paljon. Karkkia.|Você deve coletar muitos doces. Muito.|Вы должны собрать много конфет. Много.|你得找一大堆糖。一 大 堆。|あなたはキャンディをたくさん集めなければなりません。たーくーさーん。|사탕을 많이 모으십시오. 무조건. 많이.|Sammle Suessigkeiten. Viele. Suessigkeiten.
quest_objective_100_1|Candy collected|Karkkia kerätty.|Doces coletados.|Конфеты собраны.|已收集糖果。|キャンディーが集められました。|모은 사탕.|Suessigkeiten gesammelt.
||||||||
quest_name_101|Find the Candy Apples!|Etsi karkkiomenat!|Encontre as maçãs de doces!|Найти конфеты яблоки!|找到苹果糖！|リンゴのキャンディーを見つけよう！|사과 사탕을 찾아라!|Suche nach kandierten aepfeln!
quest_description_101|Find a Candy Apple in each Act.|Löydä karkkiomena jokaisesta tasosta.|Encontre uma Candy Candy em cada ATO.|Найдите конфетное яблоко в каждом акте.|在每个章节找到苹果糖。|各幕のリンゴキャンディーを見つけましょう。|모든 액트에 숨겨져 있는 사과 사탕을 찾으십시오.|Finde einen kandierten Apfel in jedem Akt.
quest_objective_101_1|Act I Apple found|Taso I omena löydetty.|Maçã do ATO I encontrada.|Акт I Яблоко найдено.|章节 I的苹果糖找到了。|幕 I のリンゴキャンディーが見つかりました。|발견한 액트 I 사과.|Akt I: Apfel gefunden.
quest_objective_101_2|Act II Apple found|Taso II omena löydetty.|Maçã do ATO II encontrada.|Акт II Яблоко найдено.|章节II的苹果糖找到了。|幕 II のリンゴキャンディーが見つかりました。|발견한 액트 II 사과.|Akt II: Apfel gefunden.
quest_objective_101_3|Act III Apple found|Taso III omena löydetty.|Maçã do ATO III encontrada.|Акт III Яблоко найдено.|章节III的苹果糖找到了。|幕 III のリンゴキャンディーが見つかりました。|발견한 액트 III 사과.|Akt III: Apfel gefunden.
