[talents]|en|fi|pt|ru|zh|ja|ko|de
viking_talent_1|Recovery|Palautuminen|Recuperação|Восстановление|复苏|回復|회복|Wiederherstellung
viking_talent_2|Shield Bash|Kilpiläimäsy|Bash Escudo|Удар Щитом|盾击|シールドバッシュ|실드 배쉬|Schildschlag
viking_talent_3|Charge|Ryntäys|Carregar|Рывок|冲锋|チャージ|돌진|Laden
viking_talent_4|Odin's Fury|Odinin viha|Furia de Odin|Ярость Одина|奥丁之怒|オーディンの怒り|오딘의 분노|Odins Zorn
viking_talent_5|Stoneskin|Kivikuori|Pele de pedra|Каменная Кожа|石肤术|ストーンズキン|금강불괴|Steinhaut
viking_talent_6|Warbringer|Sodantuoja|Guerreiro|Вестник Войны|战争使者|ウォーブリンガー|전쟁 인도자|Kriegshetzer
viking_talent_7|Shield Wall|Kilpiseinä|Muralha de Escudos|Стена Щитов|盾墙|シールドウォール|방패 벽|Schildwand
viking_talent_8|Defensive Tactics|Puolustava Taktiikka|Táticas defensivas|Оборонительная тактика|防御战术|防御戦術|수비 전술|Defensive Taktik
viking_talent_9|Futile Aggression|Suunnaton Raivo|Agressão fútil|Неистовая Ярость|徒劳的侵略|無駄な攻撃|헛된 침략|Sinnlose Aggression
viking_talent_10|Seismic Slam|Maan läimäys|Batida sismica|Сейсмический удар|地震猛击|サイズミック・スラム|지진타|Seismischer Schlag
viking_talent_11|Zeal|Kiihko|Zelar|Усердие|热诚|熱意|열의|Eifer
viking_talent_12|Pummel|Mukilointi|Agredir A Soco|Тяжёлые удары|连击|プンメル（重撃）|자루치기|Eintrommeln
viking_talent_13|Throw!|Heitto!|Lançar!|Бросок!|扔！|スロー！|던지다!|Werfen!
viking_talent_14|Weapon Master|Ase Mestari|Mestre das Armas|Мастер Ближнего Боя|武器大师|ウェポンマスター|무기 마스터|Waffenmeister
viking_talent_15|Whirlwind|Sykkyräpyörähdys|Turbilhão|Вихрь|旋风|旋風|선풍|Wirbelwind
viking_talent_16|Berserker|Raivo|Furioso|Берсерк|狂怒|ベルセルク（凶暴）|광분|Berserker
viking_talent_17|Ymir's Champion|Ymirin Soturi|Campeão de Ymir|Воин Имира|伊米尔的冠军|イミールのチャンピオン|이미르의 용사|Ymirs Champion
viking_talent_18|Shockwave|Paineaalto|Onda de Choque|Ударная волна|冲击波|ショック・ウェーブ|충격파|Stoßwelle
||||||||
